week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
11,Atlanta Falcons,New,,,,,,2025-10-05 08:01:22
11,Buffalo Bills,Houston,,,,,,2025-10-05 08:01:22
11,Carolina Panthers,San,,,,,,2025-10-05 08:01:22
11,Cleveland Browns,Las,,,,,,2025-10-05 08:01:22
11,Green Bay Packers,Dallas Cowboys,,,,,,2025-10-05 08:01:22
11,Indianapolis Colts,Kansas,,,,,,2025-10-05 08:01:22
11,Jacksonville Jaguars,Arizona,,,,,,2025-10-05 08:01:22
11,Minnesota Vikings,Green,,,,,,2025-10-05 08:01:22
11,New England Patriots,Cincinnati,,,,,,2025-10-05 08:01:22
11,New York Giants,Detroit,,,,,,2025-10-05 08:01:22
11,New York Jets,Baltimore,,,,,,2025-10-05 08:01:22
11,Philadelphia Eagles,Dallas,,,,,,2025-10-05 08:01:22
11,Pittsburgh Steelers,Chicago,,,,,,2025-10-05 08:01:22
11,Seattle Seahawks,Tennessee,,,,,,2025-10-05 08:01:22
11,Tampa Bay Buccaneers,Los,,,,,,2025-10-05 08:01:22
