week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
18,Arizona Cardinals,Los Angeles Rams,,,,,,2025-10-05 08:01:22
18,Baltimore Ravens,Pittsburgh Steelers,,,,,,2025-10-05 08:01:22
18,Carolina Panthers,Tampa Bay Buccaneers,,,,,,2025-10-05 08:01:22
18,Cleveland Browns,Cincinnati Bengals,,,,,,2025-10-05 08:01:22
18,Dallas Cowboys,New York Giants,,,,,,2025-10-05 08:01:22
18,Detroit Lions,Chicago Bears,,,,,,2025-10-05 08:01:22
18,Green Bay Packers,Minnesota Vikings,,,,,,2025-10-05 08:01:22
18,Indianapolis Colts,Houston Texans,,,,,,2025-10-05 08:01:22
18,Kansas City Chiefs,Las Vegas Raiders,,,,,,2025-10-05 08:01:22
18,Los Angeles Chargers,Denver Broncos,,,,,,2025-10-05 08:01:22
18,Miami Dolphins,New England Patriots,,,,,,2025-10-05 08:01:22
18,New Orleans Saints,Atlanta Falcons,,,,,,2025-10-05 08:01:22
18,New York Jets,Buffalo Bills,,,,,,2025-10-05 08:01:22
18,Seattle Seahawks,San Francisco 49ers,,,,,,2025-10-05 08:01:22
18,Tennessee Titans,Jacksonville Jaguars,,,,,,2025-10-05 08:01:22
18,Washington Commanders,Philadelphia Eagles,,,,,,2025-10-05 08:01:22
