week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
9,Arizona Cardinals,Seattle,,,,,,2025-10-05 07:58:16
9,Atlanta Falcons,Indianapolis,,,,,,2025-10-05 07:58:16
9,Baltimore Ravens,Minnesota,,,,,,2025-10-05 07:58:16
9,Buffalo Bills,Miami,,,,,,2025-10-05 07:58:16
9,Cleveland Browns,New,,,,,,2025-10-05 07:58:16
9,Detroit Lions,Washington,,,,,,2025-10-05 07:58:16
9,Jacksonville Jaguars,Houston,,,,,,2025-10-05 07:58:16
9,Los Angeles Rams,San,,,,,,2025-10-05 07:58:16
9,Las Vegas Raiders,Denver,,,,,,2025-10-05 07:58:16
9,New England Patriots,Tampa,,,,,,2025-10-05 07:58:16
9,New Orleans Saints,Carolina,,,,,,2025-10-05 07:58:16
9,New York Giants,Chicago,,,,,,2025-10-05 07:58:16
9,Philadelphia Eagles,Green,,,,,,2025-10-05 07:58:16
9,Pittsburgh Steelers,Los,,,,,,2025-10-05 07:58:16
