week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
6,Atlanta Falcons,San,,,,,,2025-10-05 07:51:33
6,Carolina Panthers,New,,,,,,2025-10-05 07:51:33
6,Green Bay Packers,Arizona,,,,,,2025-10-05 07:51:33
6,Houston Texans,Seattle,,,,,,2025-10-05 07:51:33
6,Indianapolis Colts,Los,,,,,,2025-10-05 07:51:33
6,Los Angeles Rams,Jacksonville,,,,,,2025-10-05 07:51:33
6,Las Vegas Raiders,Kansas,,,,,,2025-10-05 07:51:33
6,Miami Dolphins,Cleveland,,,,,,2025-10-05 07:51:33
6,New England Patriots,Tennessee,,,,,,2025-10-05 07:51:33
6,New Orleans Saints,Chicago,,,,,,2025-10-05 07:51:33
6,New York Giants,Denver,,,,,,2025-10-05 07:51:33
6,Philadelphia Eagles,Minnesota,,,,,,2025-10-05 07:51:33
6,Pittsburgh Steelers,Cincinnati,,,,,,2025-10-05 07:51:33
6,Tampa Bay Buccaneers,Detroit,,,,,,2025-10-05 07:51:33
6,Washington Commanders,Dallas,,,,,,2025-10-05 07:51:33
