week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
16,Arizona Cardinals,Cincinnati,,,,,,2025-10-05 08:01:22
16,Baltimore Ravens,Green,,,,,,2025-10-05 08:01:22
16,Chicago Bears,San,,,,,,2025-10-05 08:01:22
16,Dallas Cowboys,Washington,,,,,,2025-10-05 08:01:22
16,Denver Broncos,Kansas,,,,,,2025-10-05 08:01:22
16,Detroit Lions,Minnesota,,,,,,2025-10-05 08:01:22
16,Houston Texans,Los,,,,,,2025-10-05 08:01:22
16,Jacksonville Jaguars,Indianapolis,,,,,,2025-10-05 08:01:22
16,New England Patriots,New,,,,,,2025-10-05 08:01:22
16,New Orleans Saints,Tennessee,,,,,,2025-10-05 08:01:22
16,New York Giants,Las,,,,,,2025-10-05 08:01:22
16,Philadelphia Eagles,Buffalo,,,,,,2025-10-05 08:01:22
16,Pittsburgh Steelers,Cleveland,,,,,,2025-10-05 08:01:22
16,Seattle Seahawks,Carolina,,,,,,2025-10-05 08:01:22
16,Tampa Bay Buccaneers,Miami,,,,,,2025-10-05 08:01:22
