week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
14,Arizona Cardinals,Houston,,,,,,2025-10-05 08:01:22
14,Atlanta Falcons,Tampa,,,,,,2025-10-05 08:01:22
14,Baltimore Ravens,Cincinnati,,,,,,2025-10-05 08:01:22
14,Buffalo Bills,New,,,,,,2025-10-05 08:01:22
14,Carolina Panthers,New,,,,,,2025-10-05 08:01:22
14,Cleveland Browns,Chicago,,,,,,2025-10-05 08:01:22
14,Detroit Lions,Los,,,,,,2025-10-05 08:01:22
14,Green Bay Packers,Denver,,,,,,2025-10-05 08:01:22
14,Indianapolis Colts,Seattle,,,,,,2025-10-05 08:01:22
14,Los Angeles Chargers,Kansas,,,,,,2025-10-05 08:01:22
14,Las Vegas Raiders,Philadelphia,,,,,,2025-10-05 08:01:22
14,Minnesota Vikings,Dallas,,,,,,2025-10-05 08:01:22
14,New York Jets,Jacksonville,,,,,,2025-10-05 08:01:22
14,Tennessee Titans,San,,,,,,2025-10-05 08:01:22
14,Washington Commanders,New,,,,,,2025-10-05 08:01:22
