week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
13,Chicago Bears,Green,,,,,,2025-10-05 08:01:22
13,Cincinnati Bengals,Buffalo,,,,,,2025-10-05 08:01:22
13,Dallas Cowboys,Detroit,,,,,,2025-10-05 08:01:22
13,Denver Broncos,Las,,,,,,2025-10-05 08:01:22
13,Green Bay Packers,Detroit Lions,,,,,,2025-10-05 08:01:22
13,Houston Texans,Kansas,,,,,,2025-10-05 08:01:22
13,Indianapolis Colts,Jacksonville,,,,,,2025-10-05 08:01:22
13,Los Angeles Rams,Arizona,,,,,,2025-10-05 08:01:22
13,Miami Dolphins,New,,,,,,2025-10-05 08:01:22
13,New Orleans Saints,Tampa,,,,,,2025-10-05 08:01:22
13,Philadelphia Eagles,Los,,,,,,2025-10-05 08:01:22
13,Pittsburgh Steelers,Baltimore,,,,,,2025-10-05 08:01:22
13,Seattle Seahawks,Atlanta,,,,,,2025-10-05 08:01:22
13,Tennessee Titans,Cleveland,,,,,,2025-10-05 08:01:22
13,Washington Commanders,Minnesota,,,,,,2025-10-05 08:01:22
