Team,Player,Pos,Status,Note
Commanders,Terry McLaurin,WR,Questionable,Toe (monitor)
Buccaneers,Mike Evans,WR,Out,Hamstring
49ers,Nick Bosa,EDGE,Out,Inactive — swing to JAX
Cowboys,CeeDee Lamb,WR,Out,Flip to Packers
