week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
10,Baltimore Ravens,Cleveland,,,,,,2025-10-05 07:58:16
10,Carolina Panthers,Atlanta,,,,,,2025-10-05 07:58:16
10,Chicago Bears,Minnesota,,,,,,2025-10-05 07:58:16
10,Cincinnati Bengals,Pittsburgh,,,,,,2025-10-05 07:58:16
10,Dallas Cowboys,Las,,,,,,2025-10-05 07:58:16
10,Detroit Lions,Philadelphia,,,,,,2025-10-05 07:58:16
10,Green Bay Packers,New,,,,,,2025-10-05 07:58:16
10,Houston Texans,Tennessee,,,,,,2025-10-05 07:58:16
10,Kansas City Chiefs,Denver,,,,,,2025-10-05 07:58:16
10,Los Angeles Chargers,Jacksonville,,,,,,2025-10-05 07:58:16
10,New York Jets,New,,,,,,2025-10-05 07:58:16
10,Seattle Seahawks,Los,,,,,,2025-10-05 07:58:16
10,San Francisco 49ers,Arizona,,,,,,2025-10-05 07:58:16
10,Tampa Bay Buccaneers,Buffalo,,,,,,2025-10-05 07:58:16
10,Washington Commanders,Miami,,,,,,2025-10-05 07:58:16
