week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
17,Arizona Cardinals,Los,,,,,,2025-10-05 08:01:22
17,Baltimore Ravens,Pittsburgh,,,,,,2025-10-05 08:01:22
17,Cleveland Browns,Cincinnati,,,,,,2025-10-05 08:01:22
17,Dallas Cowboys,New,,,,,,2025-10-05 08:01:22
17,Detroit Lions,Chicago,,,,,,2025-10-05 08:01:22
17,Green Bay Packers,Minnesota,,,,,,2025-10-05 08:01:22
17,Indianapolis Colts,Houston,,,,,,2025-10-05 08:01:22
17,Kansas City Chiefs,Las,,,,,,2025-10-05 08:01:22
17,Los Angeles Chargers,Denver,,,,,,2025-10-05 08:01:22
17,Miami Dolphins,New,,,,,,2025-10-05 08:01:22
17,New Orleans Saints,Atlanta,,,,,,2025-10-05 08:01:22
17,New York Jets,Buffalo,,,,,,2025-10-05 08:01:22
17,Seattle Seahawks,San,,,,,,2025-10-05 08:01:22
17,Tennessee Titans,Jacksonville,,,,,,2025-10-05 08:01:22
17,Washington Commanders,Philadelphia,,,,,,2025-10-05 08:01:22
