week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
12,Arizona Cardinals,Tampa,,,,,,2025-10-05 08:01:22
12,Atlanta Falcons,New,,,,,,2025-10-05 08:01:22
12,Buffalo Bills,Pittsburgh,,,,,,2025-10-05 08:01:22
12,Chicago Bears,Philadelphia,,,,,,2025-10-05 08:01:22
12,Cincinnati Bengals,Baltimore,,,,,,2025-10-05 08:01:22
12,Denver Broncos,Washington,,,,,,2025-10-05 08:01:22
12,Green Bay Packers,Detroit,,,,,,2025-10-05 08:01:22
12,Houston Texans,Indianapolis,,,,,,2025-10-05 08:01:22
12,Jacksonville Jaguars,Tennessee,,,,,,2025-10-05 08:01:22
12,Kansas City Chiefs,Dallas,,,,,,2025-10-05 08:01:22
12,Los Angeles Rams,Carolina,,,,,,2025-10-05 08:01:22
12,Las Vegas Raiders,Los,,,,,,2025-10-05 08:01:22
12,Minnesota Vikings,Seattle,,,,,,2025-10-05 08:01:22
12,New Orleans Saints,Miami,,,,,,2025-10-05 08:01:22
12,San Francisco 49ers,Cleveland,,,,,,2025-10-05 08:01:22
