week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
8,Arizona Cardinals,Dallas,,,,,,2025-10-05 07:58:16
8,Atlanta Falcons,New,,,,,,2025-10-05 07:58:16
8,Baltimore Ravens,Miami,,,,,,2025-10-05 07:58:16
8,Carolina Panthers,Green,,,,,,2025-10-05 07:58:16
8,Chicago Bears,Cincinnati,,,,,,2025-10-05 07:58:16
8,Denver Broncos,Houston,,,,,,2025-10-05 07:58:16
8,Indianapolis Colts,Pittsburgh,,,,,,2025-10-05 07:58:16
8,Jacksonville Jaguars,Las,,,,,,2025-10-05 07:58:16
8,Kansas City Chiefs,Buffalo,,,,,,2025-10-05 07:58:16
8,Los Angeles Chargers,Tennessee,,,,,,2025-10-05 07:58:16
8,Minnesota Vikings,Detroit,,,,,,2025-10-05 07:58:16
8,Minnesota Vikings,Los Angeles Chargers,,,,,,2025-10-05 07:58:16
8,New Orleans Saints,Los,,,,,,2025-10-05 07:58:16
8,Seattle Seahawks,Washington,,,,,,2025-10-05 07:58:16
8,San Francisco 49ers,New,,,,,,2025-10-05 07:58:16
