Week,Away Team,Home Team,Date,Time,Kickoff ISO
6,ers,Tampa,2025-10-12,,2025-10-12 00:00
6,Buffalo Bills,Atlanta,2025-10-13,,2025-10-13 00:00
6,Chicago Bears,Washington,2025-10-13,,2025-10-13 00:00
7,Pittsburgh Steelers,Cincinnati,2025-10-16,,2025-10-16 00:00
7,Atlanta Falcons,San,2025-10-19,,2025-10-19 00:00
7,Carolina Panthers,New,2025-10-19,,2025-10-19 00:00
7,Green Bay Packers,Arizona,2025-10-19,,2025-10-19 00:00
7,Indianapolis Colts,Los,2025-10-19,,2025-10-19 00:00
7,Las Vegas Raiders,Kansas,2025-10-19,,2025-10-19 00:00
7,Los Angeles Rams,Jacksonville,2025-10-19,,2025-10-19 00:00
7,Miami Dolphins,Cleveland,2025-10-19,,2025-10-19 00:00
7,New England Patriots,Tennessee,2025-10-19,,2025-10-19 00:00
7,New Orleans Saints,Chicago,2025-10-19,,2025-10-19 00:00
7,New York Giants,Denver,2025-10-19,,2025-10-19 00:00
7,Philadelphia Eagles,Minnesota,2025-10-19,,2025-10-19 00:00
7,Washington Commanders,Dallas,2025-10-19,,2025-10-19 00:00
7,Houston Texans,Seattle,2025-10-20,,2025-10-20 00:00
7,Tampa Bay Buccaneers,Detroit,2025-10-20,,2025-10-20 00:00
8,Minnesota Vikings,Los,2025-10-23,,2025-10-23 00:00
8,Buffalo Bills,Carolina,2025-10-26,,2025-10-26 00:00
8,Chicago Bears,Baltimore,2025-10-26,,2025-10-26 00:00
8,Cleveland Browns,New,2025-10-26,,2025-10-26 00:00
8,Dallas Cowboys,Denver,2025-10-26,,2025-10-26 00:00
8,Green Bay Packers,Pittsburgh,2025-10-26,,2025-10-26 00:00
8,Miami Dolphins,Atlanta,2025-10-26,,2025-10-26 00:00
8,New York Giants,Philadelphia,2025-10-26,,2025-10-26 00:00
8,New York Jets,Cincinnati,2025-10-26,,2025-10-26 00:00
8,Tampa Bay Buccaneers,New,2025-10-26,,2025-10-26 00:00
8,Tennessee Titans,Indianapolis,2025-10-26,,2025-10-26 00:00
8,ers,Houston,2025-10-26,,2025-10-26 00:00
8,Washington Commanders,Kansas,2025-10-27,,2025-10-27 00:00
9,Baltimore Ravens,Miami,2025-10-30,,2025-10-30 00:00
9,Atlanta Falcons,New,2025-11-02,,2025-11-02 00:00
9,Carolina Panthers,Green,2025-11-02,,2025-11-02 00:00
9,Chicago Bears,Cincinnati,2025-11-02,,2025-11-02 00:00
9,Denver Broncos,Houston,2025-11-02,,2025-11-02 00:00
9,Indianapolis Colts,Pittsburgh,2025-11-02,,2025-11-02 00:00
9,Jacksonville Jaguars,Las,2025-11-02,,2025-11-02 00:00
9,Kansas City Chiefs,Buffalo,2025-11-02,,2025-11-02 00:00
9,Los Angeles Chargers,Tennessee,2025-11-02,,2025-11-02 00:00
9,Minnesota Vikings,Detroit,2025-11-02,,2025-11-02 00:00
9,New Orleans Saints,Los,2025-11-02,,2025-11-02 00:00
9,Seattle Seahawks,Washington,2025-11-02,,2025-11-02 00:00
9,ers,New,2025-11-02,,2025-11-02 00:00
9,Arizona Cardinals,Dallas,2025-11-03,,2025-11-03 00:00
10,Las Vegas Raiders,Denver,2025-11-06,,2025-11-06 00:00
10,Arizona Cardinals,Seattle,2025-11-09,,2025-11-09 00:00
10,Atlanta Falcons,Indianapolis,2025-11-09,,2025-11-09 00:00
10,Baltimore Ravens,Minnesota,2025-11-09,,2025-11-09 00:00
10,Buffalo Bills,Miami,2025-11-09,,2025-11-09 00:00
10,Cleveland Browns,New,2025-11-09,,2025-11-09 00:00
10,Detroit Lions,Washington,2025-11-09,,2025-11-09 00:00
10,Jacksonville Jaguars,Houston,2025-11-09,,2025-11-09 00:00
10,Los Angeles Rams,San,2025-11-09,,2025-11-09 00:00
10,New England Patriots,Tampa,2025-11-09,,2025-11-09 00:00
10,New Orleans Saints,Carolina,2025-11-09,,2025-11-09 00:00
10,New York Giants,Chicago,2025-11-09,,2025-11-09 00:00
10,Pittsburgh Steelers,Los,2025-11-09,,2025-11-09 00:00
10,Philadelphia Eagles,Green,2025-11-10,,2025-11-10 00:00
11,New York Jets,New,2025-11-13,,2025-11-13 00:00
11,Baltimore Ravens,Cleveland,2025-11-16,,2025-11-16 00:00
11,Carolina Panthers,Atlanta,2025-11-16,,2025-11-16 00:00
11,Chicago Bears,Minnesota,2025-11-16,,2025-11-16 00:00
11,Cincinnati Bengals,Pittsburgh,2025-11-16,,2025-11-16 00:00
11,Detroit Lions,Philadelphia,2025-11-16,,2025-11-16 00:00
11,Green Bay Packers,New,2025-11-16,,2025-11-16 00:00
11,Houston Texans,Tennessee,2025-11-16,,2025-11-16 00:00
11,Kansas City Chiefs,Denver,2025-11-16,,2025-11-16 00:00
11,Los Angeles Chargers,Jacksonville,2025-11-16,,2025-11-16 00:00
11,Seattle Seahawks,Los,2025-11-16,,2025-11-16 00:00
11,Tampa Bay Buccaneers,Buffalo,2025-11-16,,2025-11-16 00:00
11,Washington Commanders,Miami,2025-11-16,,2025-11-16 00:00
11,ers,Arizona,2025-11-16,,2025-11-16 00:00
11,Dallas Cowboys,Las,2025-11-17,,2025-11-17 00:00
12,Buffalo Bills,Houston,2025-11-20,,2025-11-20 00:00
12,Atlanta Falcons,New,2025-11-23,,2025-11-23 00:00
12,Cleveland Browns,Las,2025-11-23,,2025-11-23 00:00
12,Indianapolis Colts,Kansas,2025-11-23,,2025-11-23 00:00
12,Jacksonville Jaguars,Arizona,2025-11-23,,2025-11-23 00:00
12,Minnesota Vikings,Green,2025-11-23,,2025-11-23 00:00
12,New England Patriots,Cincinnati,2025-11-23,,2025-11-23 00:00
12,New York Giants,Detroit,2025-11-23,,2025-11-23 00:00
12,New York Jets,Baltimore,2025-11-23,,2025-11-23 00:00
